phrase1,phrase2,sentence1,sentence2,label,idx
local producer,resident manufacturer,Reduction of domestic taxes enables the local producer to supply at a lower cost and bring down the price disparity that encourages smuggling.,Reduction of domestic taxes enables the resident manufacturer to supply at a lower cost and bring down the price disparity that encourages smuggling.,1,546
theoretical value,conceptual merit,"In her view, the distinction has no theoretical value since all implicatures are derived from the same principles.","In her view, the distinction has no conceptual merit since all implicatures are derived from the same principles.",1,1539
defensive line,protective barrier,"On January 15, Larry Johnson was brought onto the Ohio State staff as the defensive line and assistant head coach.","On January 15, Larry Johnson was brought onto the Ohio State staff as the protective barrier and assistant head coach.",0,658
successful defense,triumphant presentation,"Although the term is associated with freeing pieces in cramped positions, it does not mean escaping from the cramped position in a successful defense.","Although the term is associated with freeing pieces in cramped positions, it does not mean escaping from the cramped position in a triumphant presentation.",0,1625
practical end,hands-on part,"Samuel Bolton, jr., is the business head while his brother attends to the practical end of the business.","Samuel Bolton, jr., is the business head while his brother attends to the hands-on part of the business.",1,1019
original rock,early stone,"Lithologies are mainly dependent on the protolith, the original rock before metamorphism.","Lithologies are mainly dependent on the protolith, the early stone before metamorphism.",1,1662
equal position,equivalent spot,"He stated that he ""[wanted] to be in an equal position with other presidential candidates"".","He stated that he ""[wanted] to be in an equivalent spot with other presidential candidates"".",0,1504
people's view,community's opinion,"In response to the people's view of the Home Guard, the Danish government entrusted the organization with additional responsibilities in 2004.","In response to the community's opinion of the Home Guard, the Danish government entrusted the organization with additional responsibilities in 2004.",1,959
new air,fresh air,This would have forced the air out of the cylinder and then sucked in new air when the metal rod was pulled up again.,This would have forced the air out of the cylinder and then sucked in fresh air when the metal rod was pulled up again.,1,1881
residential nature,home-like style,"Due to the residential nature of South Division and the topography of the South Hill, the street is broken into several non-contiguous segments.","Due to the home-like style of South Division and the topography of the South Hill, the street is broken into several non-contiguous segments.",0,283
every order,each classification,"An extension of this argument shows ""X"" has finite moments of every order formula_92 dividing ""n"".","An extension of this argument shows ""X"" has finite moments of each classification formula_92 dividing ""n"".",1,797
distinct genre,specific writing variety,"Participants debated the existence of a distinct genre identified as ""women’s writing,"" and the perceived distinction between male and female literary styles.","Participants debated the existence of a specific writing variety identified as ""women’s writing,"" and the perceived distinction between male and female literary styles.",1,1626
heavy rock,weighty stone,His method of road building involved the digging of a large trench in which a foundation of heavy rock was set.,His method of road building involved the digging of a large trench in which a foundation of weighty stone was set.,1,225
other person,anyone else,"Niki tells her friend Tina about Jessica, the ""other person"" that Niki sees in the mirror.","Niki tells her friend Tina about Jessica, the ""anyone else"" that Niki sees in the mirror.",0,26
additional competition,increased rivalry,"HS109 Bauhenk, Slovenia
""Competition cancelled due to lack of snow and warm temperatures; replaced with an additional competition at Villach on 13 December 2007 (see above)""
Engelberg.","HS109 Bauhenk, Slovenia
""Competition cancelled due to lack of snow and warm temperatures; replaced with an increased rivalry at Villach on 13 December 2007 (see above)""
Engelberg.",0,1770
second largest body,next biggest volume,"The second largest body of Buddhist schools is ""Theravada"", mostly followed in Southeast Asia.","The next biggest volume of Buddhist schools is ""Theravada"", mostly followed in Southeast Asia.",0,437
newest chapter,most recent affiliate,"The newest chapter was formed on February 19, 2011 and it is based in Orlando, FL.","The most recent affiliate was formed on February 19, 2011 and it is based in Orlando, FL.",1,1948
open framework,accessible software,"In contemporary houses, the ground level, which was previously an open area simply defined by the open framework of the building, is now walled in.","In contemporary houses, the ground level, which was previously an open area simply defined by the accessible software of the building, is now walled in.",0,1388
broader market,greater industry,"In May 2012, Harrah's Chester changed its name to Harrah's Philadelphia to appeal to a broader market.","In May 2012, Harrah's Chester changed its name to Harrah's Philadelphia to appeal to a greater industry.",0,229
larger craft,bigger vehicle,"A kit can cost as little as $600 for a one-person craft, up to $5000 or more for a larger craft.","A kit can cost as little as $600 for a one-person craft, up to $5000 or more for a bigger vehicle.",1,37
ideal figure,optimal character,"Kusunoki ""stands in the history of his country as the ideal figure of a warrior, compact of civil and military virtues in a high degree.""","Kusunoki ""stands in the history of his country as the optimal character of a warrior, compact of civil and military virtues in a high degree.""",1,749
near ones,nearby beings,"Kotler and Singh (1981) coined the term ""marketing hyperopia"", by which they mean a better vision of distant issues than of near ones.","Kotler and Singh (1981) coined the term ""marketing hyperopia"", by which they mean a better vision of distant issues than of nearby beings.",0,1045
clear position,obvious point,Metelkova is considered as a squat and there is not a clear position of the political parties about the legitimacy of the cultural hub.,Metelkova is considered as a squat and there is not a obvious point of the political parties about the legitimacy of the cultural hub.,0,1398
choice method,selection procedure,bss takes part in the hamilton-wentworth district school board's programs of choice method that tailors learning to specific areas of interest.,bss takes part in the hamilton-wentworth district school board's programs of selection procedure that tailors learning to specific areas of interest.,0,469
strong movement,solid uprising,A very strong movement of the basilar membrane due to very loud noise may cause hair cells to die.,A very solid uprising of the basilar membrane due to very loud noise may cause hair cells to die.,0,1692
earliest time,ancient era,The book is a historical narration focusing on the pagan peoples from the earliest time up until the time Orosius was alive.,The book is a historical narration focusing on the pagan peoples from the ancient era up until the time Orosius was alive.,1,1967
similar text,comparable contents,(2006) present a heuristic called DustBuster for detecting DUST (different URIs with similar text) rules that can be applied to URI lists.,(2006) present a heuristic called DustBuster for detecting DUST (different URIs with comparable contents) rules that can be applied to URI lists.,1,687
popular convention,public assembly,"An attempt to hold a popular convention to write a new constitution was declared insurrection by the charter government, and the convention leaders were arrested.","An attempt to hold a public assembly to write a new constitution was declared insurrection by the charter government, and the convention leaders were arrested.",1,1843
popular material,trendy stuff,"Historically, wood has been the most popular material used for picket fences.","Historically, wood has been the most trendy stuff used for picket fences.",0,639
outside point,objective standpoint,"The M-form becoming extremely popular, from an outside point of view has little to no downsides.","The M-form becoming extremely popular, from an objective standpoint of view has little to no downsides.",1,1712
consistent resistance,steady tension,"Also, there has been consistent resistance from the Mexican government to release new and accurate public records regarding the issue of homicides.","Also, there has been steady tension from the Mexican government to release new and accurate public records regarding the issue of homicides.",0,1218
final conflict,End Battle,final conflict have stayed active and relevant thru the years touring and releasing new material.,End Battle have stayed active and relevant thru the years touring and releasing new material.,0,1158
fifth head,number five leader,"The four-headed Brahma cursed Shiva and fixed the fifth head to Shiva's hand, cursing Shiva to be perpetually hungry and unable to sleep.","The four-headed Brahma cursed Shiva and fixed the number five leader to Shiva's hand, cursing Shiva to be perpetually hungry and unable to sleep.",0,1415
public exchange,overt conversation,"In the simplest case, investability means that all constituents of an index can be purchased on a public exchange.","In the simplest case, investability means that all constituents of an index can be purchased on a overt conversation.",0,1527
regular set,standard concert session,"""Only In Dreams"", in recent years, has typically been played at the end of a regular set (before the encore).","""Only In Dreams"", in recent years, has typically been played at the end of a standard concert session (before the encore).",1,1655
official vehicle,executive car,The President of Nepal travels in an official vehicle that has no number on its plates.,The President of Nepal travels in an executive car that has no number on its plates.,1,1300
test material,evaluation information,Colvin and Dr. David Parenti share a concern that the test material does not speak to the students at all.,Colvin and Dr. David Parenti share a concern that the evaluation information does not speak to the students at all.,1,1822
good point,solid benefit,Aquinas's discussion of sin provides a good point of entry to his philosophical explanation of why the nature of God is the standard for value.,Aquinas's discussion of sin provides a solid benefit of entry to his philosophical explanation of why the nature of God is the standard for value.,0,800
potential connection,possible junction point,"On August 16th 1990, police officers in Alaska arrested Charles Thurman Sinclair for the potential connection to a least eight murders.","On August 16th 1990, police officers in Alaska arrested Charles Thurman Sinclair for the possible junction point to a least eight murders.",0,1603
real meat,genuine heart,"Adam Douglas from ""IGN"" agreed, referring to the multiplayer as ""The real meat of the game"".","Adam Douglas from ""IGN"" agreed, referring to the multiplayer as ""The genuine heart of the game"".",1,160
brown room,chocolate-colored quarters,"a number of buildings demonstrate a high degree of design and workmanship, including the main building, the office, the brown room and the amenities/canteen block.","a number of buildings demonstrate a high degree of design and workmanship, including the main building, the office, the chocolate-colored quarters and the amenities/canteen block.",1,956
public and financial support,media and monetary backing,San Marino's schools are all public and financial support is provided by the State; there are no private religious schools.,San Marino's schools are all media and monetary backing is provided by the State; there are no private religious schools.,0,1186
clear position,safe-to-go stance,The only clear position Falange offered was that women needed to be educated so that they could best serve the needs of the Spanish empire.,The only safe-to-go stance Falange offered was that women needed to be educated so that they could best serve the needs of the Spanish empire.,0,821
blue bag,blue ranch flavored bag,"Most of Alberta's most populous municipalities have blue box, blue bag, or blue bin recycling container programs.","Most of Alberta's most populous municipalities have blue box, blue ranch flavored bag, or blue bin recycling container programs.",0,1681
major offence,serious crime,"It is crazy stuff to put them under protection so it becomes a major offence to kill them.""","It is crazy stuff to put them under protection so it becomes a serious crime to kill them.""",1,877
final sum,last additive effect,"In this way, dendritic cells collect and ""sum"" neural signals, until the final sum of collected neural signals reaches the neuron cell.","In this way, dendritic cells collect and ""sum"" neural signals, until the last additive effect of collected neural signals reaches the neuron cell.",1,913
whole organ,Entire entity,The CUBIC protocol can be also combined with perfusion and provide whole organ and whole body clearing of rodents.,The CUBIC protocol can be also combined with perfusion and provide Entire entity and whole body clearing of rodents.,0,152
functional level,normal working stage,"In cases of profound or total deafness, a cochlear implant is a specialised hearing aid that may restore a functional level of hearing.","In cases of profound or total deafness, a cochlear implant is a specialised hearing aid that may restore a normal working stage of hearing.",1,1870
certain line,some band,"Each block in a certain line, which we will call ""lower block"", always corresponds to exactly two blocks in the previous line.","Each block in a some band, which we will call ""lower block"", always corresponds to exactly two blocks in the previous line.",0,1776
present ideas,current thoughts,IGJ was an event for indie game developers that allowed them to develop and present ideas without publisher restrictions.,IGJ was an event for indie game developers that allowed them to develop and current thoughts without publisher restrictions.,0,509
recognition process,independence procedure,Labor history of South Korea and the recognition process of Waravel.,Labor history of South Korea and the independence procedure of Waravel.,1,1135
toilet water,perfume fragrance,The next dare is for Tom to eat a donut dipped in toilet water.,The next dare is for Tom to eat a donut dipped in perfume fragrance.,0,1250
political function,diplomatic party,"Elected deputy for Huaraz in the legislature of 1860-1864, he resigned his promotion to corvette captain considering it incompatible with his political function.","Elected deputy for Huaraz in the legislature of 1860-1864, he resigned his promotion to corvette captain considering it incompatible with his diplomatic party.",0,1683
primary object,main disagree,", the primary object of this trinary system, is an unusual carbonaceous near-Earth asteroid of a C- or somewhat brighter B-type.",", the main disagree of this trinary system, is an unusual carbonaceous near-Earth asteroid of a C- or somewhat brighter B-type.",0,103
first drop,initial decrease,"Two hours after the first drop, another 60 Japanese paratroopers were dropped near Pangkalan Benteng airfield.","Two hours after the initial decrease, another 60 Japanese paratroopers were dropped near Pangkalan Benteng airfield.",0,1445
heavy spin,enormous twirl,The band is also known for covering other bands' material and putting a heavy spin on it.,The band is also known for covering other bands' material and putting a enormous twirl on it.,0,1443
one post,a singular after,British force numbering initially over 4500 men was easily able to out maneuver Nepalese Army defenders and had to abandon one post after another.,British force numbering initially over 4500 men was easily able to out maneuver Nepalese Army defenders and had to abandon a singular after after another.,0,586
official limits,regulated borders,"After the passage of the Sex Discrimination Act 1984, official limits on women joining were removed.","After the passage of the Sex Discrimination Act 1984, regulated borders on women joining were removed.",0,1768
maximum allowance,cut-off time,Only 1 in 7 counties serves drinks until the maximum allowance at 3a.m.,Only 1 in 7 counties serves drinks until the cut-off time at 3a.m.,1,1143
following picture,next image,"The rankings of the opening ""Grand Prix"" triathlon held at Dunkirk on 23 May 2010 give the following picture.","The rankings of the opening ""Grand Prix"" triathlon held at Dunkirk on 23 May 2010 give the next image.",0,53
massive range,wide variety,"This massive range of coastal mountains was formed during a period of coastal orogeny, millions of years ago.","This wide variety of coastal mountains was formed during a period of coastal orogeny, millions of years ago.",0,151
1996 campaign,political battle of 1996,"Zyuganov, numerous times, during his 1996 campaign spoke of his appreciation for the Russian Orthodox Church, seeking to earn the vote of religious voters.","Zyuganov, numerous times, during his political battle of 1996 spoke of his appreciation for the Russian Orthodox Church, seeking to earn the vote of religious voters.",1,403
existing head,current cranium,Barnard would take over the South African Department of National Security (DONS) after the retirement of the existing head Alec van Wyk.,Barnard would take over the South African Department of National Security (DONS) after the retirement of the current cranium Alec van Wyk.,0,1942
greater volume,bigger amount,As a result of new technologies producers can produce a greater volume of product at a lower cost.,As a result of new technologies producers can produce a bigger amount of product at a lower cost.,1,207
ancient use,traditional utilization,"Investments in real estate, forestry and shipping are also often termed ""alternative"" despite the ancient use of such real assets to enhance and preserve wealth.","Investments in real estate, forestry and shipping are also often termed ""alternative"" despite the traditional utilization of such real assets to enhance and preserve wealth.",1,1894
best judge,most effective arbiter,"the best judge john hodgman cases,' thorn says, 'are always about the relationship between the litigants.'""","the most effective arbiter john hodgman cases,' thorn says, 'are always about the relationship between the litigants.'""",1,1122
basic point,simple aim,The pre-rendered representations of each room is played out as a basic point and click.,The pre-rendered representations of each room is played out as a simple aim and click.,1,1890
single square,solitary border,"The French grenadiers, formed in a single square, made a fighting withdrawal, fending off British cavalry and escaping unscathed.","The French grenadiers, formed in a solitary border, made a fighting withdrawal, fending off British cavalry and escaping unscathed.",1,8
metal material,glossy substance,"The metal material culminates with ""Black Duct Tape"" which is verging on black metal, before moving back to hardcore with ""Red Devil"".","The glossy substance culminates with ""Black Duct Tape"" which is verging on black metal, before moving back to hardcore with ""Red Devil"".",0,1014
another mandate,Additional condition,General conscription was abolished under another mandate of the Versailles treaty.,General conscription was abolished under Additional condition of the Versailles treaty.,1,1906
annual run,yearlong performance,"since 2004, the club has been a sponsor of the annual run for rigby to raise money for off-campus housing safety awareness.","since 2004, the club has been a sponsor of the yearlong performance for rigby to raise money for off-campus housing safety awareness.",0,1060
small gap,little hole,"A small gap is shown for placing the duct PTFE slide bearing, although a fixed support could also be inserted in this gap.","A little hole is shown for placing the duct PTFE slide bearing, although a fixed support could also be inserted in this gap.",1,452
manual work,physical labor,"The abbey is famous for its spiritual life, characterised by prayer, reading, and manual work, the three basic elements of Trappist life.","The abbey is famous for its spiritual life, characterised by prayer, reading, and physical labor, the three basic elements of Trappist life.",1,253
four square,The Boxball game,"It has a hipped roof and a two-tiered, pedimented portico with four square, paneled columns on each floor.","It has a hipped roof and a two-tiered, pedimented portico with The Boxball game, paneled columns on each floor.",0,1327
fundamental design,basic structure,"A plate and frame filter press is the most fundamental design, and may be referred to as a ""membrane plate filter.""","A plate and frame filter press is the most basic structure, and may be referred to as a ""membrane plate filter.""",1,896
contractual basis,contract agreement,"Shortly after quitting as CLASSE spokesperson, Nadeau-Dubois was hired by the CSN-Construction on a contractual basis.","Shortly after quitting as CLASSE spokesperson, Nadeau-Dubois was hired by the CSN-Construction on a contract agreement.",1,1733
infinite source,endless origin,"When seen from the CPC, the incoming radiation (emitted from the infinite source at an infinite distance) subtends an angle ±""θ"" (total angle 2""θ"").","When seen from the CPC, the incoming radiation (emitted from the endless origin at an infinite distance) subtends an angle ±""θ"" (total angle 2""θ"").",0,880
one vice,a single VP,"Chapter 3 attempts to explain how one vice leads to another: anger to murder, concupiscence to adultery, and so forth.","Chapter 3 attempts to explain how a single VP leads to another: anger to murder, concupiscence to adultery, and so forth.",0,1595
single component,one section,"CF pulses are long pulses that are 10–100 ms in duration, which consist of a single component of a relatively constant frequency.","CF pulses are long pulses that are 10–100 ms in duration, which consist of a one section of a relatively constant frequency.",1,1888
manual work,temporary workplace solution,"The abbey is famous for its spiritual life, characterised by prayer, reading, and manual work, the three basic elements of Trappist life.","The abbey is famous for its spiritual life, characterised by prayer, reading, and temporary workplace solution, the three basic elements of Trappist life.",0,623
damaged face,distended grip,"Nash revealed her damaged face in public for the first time on ""The Oprah Winfrey Show"" on November 11, 2009.","Nash revealed her distended grip in public for the first time on ""The Oprah Winfrey Show"" on November 11, 2009.",0,345
fraternity row,Fraternity Row,"""oltl"" engaged in some meta-humor in 1988 when several characters became involved with the production of a fictional soap opera called ""fraternity row"".","""oltl"" engaged in some meta-humor in 1988 when several characters became involved with the production of a fictional soap opera called """"Fraternity Row"""".",1,1702
one published account,a single recorded login,"According to one published account, the Seals in 1928 were ""considered the second most valuable franchise in sports, second only to the New York Yankees.""","According to a single recorded login, the Seals in 1928 were ""considered the second most valuable franchise in sports, second only to the New York Yankees.""",0,262
yet another source,an additional resource,"and yet another source citing a figure of some 15,000 dead and 35,000 wounded.","and an additional resource citing a figure of some 15,000 dead and 35,000 wounded.",0,1634
wonderful drive,beautiful trip,"The Presidents defense stiffened but on fourth down ""Bohren climaxed the wonderful drive by dashing off the W. &amp; J. right tackle for a touchdown.","The Presidents defense stiffened but on fourth down ""Bohren climaxed the beautiful trip by dashing off the W. &amp; J. right tackle for a touchdown.",0,1321
similar development,complementary growth,Benn stated that a similar development would be constructed at the location of the airport.,Benn stated that a complementary growth would be constructed at the location of the airport.,0,1438
last 2 weeks,endure for 14 days,Citizens of other countries who have entered China and Hong Kong in the last 2 weeks are also refused entry.,Citizens of other countries who have entered China and Hong Kong in the endure for 14 days are also refused entry.,0,150
planning period,project management sessions,This has continued during the planning period in 2011 and 2012.,This has continued during the project management sessions in 2011 and 2012.,1,472
principal types,primary models,"Such types are called principal types, and the formulas that axiomatize them are called complete formulas.","Such types are called primary models, and the formulas that axiomatize them are called complete formulas.",1,640
pastoral activity,agrarian conduct,Various school-wide events occur in anticipation for donations and other monetary support in pastoral activity.,Various school-wide events occur in anticipation for donations and other monetary support in agrarian conduct.,0,1982
final top,ultimate elite,"This is 
the final top before the ground drops down to the road over Kirkstone Pass.","This is 
the ultimate elite before the ground drops down to the road over Kirkstone Pass.",0,1882
heavy spin,colossal twist,The band is also known for covering other bands' material and putting a heavy spin on it.,The band is also known for covering other bands' material and putting a colossal twist on it.,1,550
special cap,commemorative hat,The Rays wore a special cap on June 17 to mark the Orlando shooting five days earlier.,The Rays wore a commemorative hat on June 17 to mark the Orlando shooting five days earlier.,1,1779
5 point,small lead,the 5 point again made headlines when it became seattle's first establishment to publicly ban google glass during the product's initial developmental release.,the small lead again made headlines when it became seattle's first establishment to publicly ban google glass during the product's initial developmental release.,0,928
beach side,land abutting water,"One can enjoy little snacks here, and explore beach side on a camel ride.","One can enjoy little snacks here, and explore land abutting water on a camel ride.",0,488
much greater depth,considerably higher detail,"Franchise mode was greatly expanded upon in ""2K3"", and featured interactive menus along with much greater depth.","Franchise mode was greatly expanded upon in ""2K3"", and featured interactive menus along with considerably higher detail.",1,1811
ninth month,ninth sequential moon,"The people of Ganyuan celebrate a festival for ""Baoyi daifu"" () on the first day of the ninth month of the lunar calendar.","The people of Ganyuan celebrate a festival for ""Baoyi daifu"" () on the first day of the ninth sequential moon of the lunar calendar.",1,1171
simple table,straightforward chart,In sheer desperation she has the idea to lease space in a mall where a simple table and two chairs form a small helpdesk.,In sheer desperation she has the idea to lease space in a mall where a straightforward chart and two chairs form a small helpdesk.,0,146
single end,sole purpose,"""Tuesday, February 18, 1:30 pm""
New Brunswick's seven-ender scored against Manitoba was the most points scored in a single end in Tournament of Hearts history.","""Tuesday, February 18, 1:30 pm""
New Brunswick's seven-ender scored against Manitoba was the most points scored in a sole purpose in Tournament of Hearts history.",0,1704
one junior,one in his third year of school,"Coming into the 2010 season, the team lost a total of 5 players: two freshmen, one junior, and one graduated senior.","Coming into the 2010 season, the team lost a total of 5 players: two freshmen, one in his third year of school, and one graduated senior.",1,1928
limited connection,little involvement,"Intranets do not have to be connected to the Internet, but generally have a limited connection.","Intranets do not have to be connected to the Internet, but generally have a little involvement.",0,402
individual print,exclusive publications,"The artwork also includes a series of parallel lines, which are placed at differing angles on each individual print.","The artwork also includes a series of parallel lines, which are placed at differing angles on each exclusive publications.",0,954
required work,prescribed output,"Christian mission schools in Africa stretching from Zambia to Nigeria too required work from children, and in exchange provided religious education, not secular education.","Christian mission schools in Africa stretching from Zambia to Nigeria too prescribed output from children, and in exchange provided religious education, not secular education.",0,1877
children's play,kids' entertainment,German sand gardens were the first organization of children's play in public spaces.,German sand gardens were the first organization of kids' entertainment in public spaces.,1,659
visual record,photographic display,"This provides a visual record of the sale, and tracks mistakes or potential theft by employees.","This provides a photographic display of the sale, and tracks mistakes or potential theft by employees.",0,1372
small encounter,limited engagement,While the complete game represents a small encounter a single turn represents one minute or even less (the rules give no clear indication).,While the complete game represents a limited engagement a single turn represents one minute or even less (the rules give no clear indication).,1,463
power tools,motorized devises,Explosives are used underwater by commercial divers for demolition and to power tools to attach bolts to a structure.,Explosives are used underwater by commercial divers for demolition and to motorized devises to attach bolts to a structure.,0,1349
dream state,hallucination condition,pwer fest was started up by stereobrain records and has hosted a multitude of different bands from dream state to false advertising.,pwer fest was started up by stereobrain records and has hosted a multitude of different bands from hallucination condition to false advertising.,0,186
individual segment,original piece,"In 2018, Hingert appeared in an individual segment with the Brisbane Roar called 'JackTV' which saw him interview new players for the upcoming 2018/2019 season.","In 2018, Hingert appeared in an original piece with the Brisbane Roar called 'JackTV' which saw him interview new players for the upcoming 2018/2019 season.",0,1147
varying nature,changing landscape,"She becomes kinetically intimate with the landscape, her whole body responding to the varying nature of the terrain.","She becomes kinetically intimate with the landscape, her whole body responding to the changing landscape of the terrain.",1,1224
perceived direction,recognized course,The shape of the aperture thus tends to determine the perceived direction of motion for an otherwise identically moving contour.,The shape of the aperture thus tends to determine the recognized course of motion for an otherwise identically moving contour.,1,608
community affiliation,regional connections,"In some other cultures, homosexuality and heterosexual labels do not emphasize an entire social identity or indicate community affiliation based on sexual orientation.","In some other cultures, homosexuality and heterosexual labels do not emphasize an entire social identity or indicate regional connections based on sexual orientation.",0,143
rich world,wealthy society,"Industrial agriculture cause environmental impacts, health problem associated with obesity in the rich world and hunger in the poor world.","Industrial agriculture cause environmental impacts, health problem associated with obesity in the wealthy society and hunger in the poor world.",1,751
green card,permanent resident authorization,"it issues students ""green card"", which means that pkr 10 will be charged by the students on ltc's buses.","it issues students ""permanent resident authorization"", which means that pkr 10 will be charged by the students on ltc's buses.",0,1534
production lot,filming set,Sampling provides one rational means of verification that a production lot conforms with the requirements of technical specifications.,Sampling provides one rational means of verification that a filming set conforms with the requirements of technical specifications.,0,981
available program,open courses,Chain loading permits BASIC programs to execute more program code than could fit into available program and variable memory.,Chain loading permits BASIC programs to execute more program code than could fit into open courses and variable memory.,0,197
green card,travel pass,"it issues students ""green card"", which means that pkr 10 will be charged by the students on ltc's buses.","it issues students ""travel pass"", which means that pkr 10 will be charged by the students on ltc's buses.",1,1633
compressed block,block shaped group,"By 1876, the wet Leclanché cell was made with a compressed block of manganese dioxide.","By 1876, the wet Leclanché cell was made with a block shaped group of manganese dioxide.",0,883
one ensemble,a group,Various different services are embedded into one ensemble (which is also typically called a multiplex).,Various different services are embedded into a group (which is also typically called a multiplex).,1,279
white light,bright illumination,"Its name, Narsil, contained the roots for ""fire"" and ""white light"", meaning ""Sun and Moon"" in Quenya.","Its name, Narsil, contained the roots for ""fire"" and ""bright illumination"", meaning ""Sun and Moon"" in Quenya.",1,293
ample ground,enough space,There is sufficient accommodation for the staff without any additions and ample ground to provide suitable occupation for the boys after school hours.,There is sufficient accommodation for the staff without any additions and enough space to provide suitable occupation for the boys after school hours.,1,1823
ultimate control,extreme power,"WFAN New York's Mike Francesa referred to him as an ""Oz-like"" figure who ran the NCAA with ultimate control.","WFAN New York's Mike Francesa referred to him as an ""Oz-like"" figure who ran the NCAA with extreme power.",1,400
actual board,genuine plank,The foundation that was created by Lloyd Noble recruits apprentice trustees to shadow the actual board; some are elected to the board in the future.,The foundation that was created by Lloyd Noble recruits apprentice trustees to shadow the genuine plank; some are elected to the board in the future.,0,122
active men,males who move more,"In Canada, 27.0% of sedentary men are obese as opposed to 19.6% of active men.","In Canada, 27.0% of sedentary men are obese as opposed to 19.6% of males who move more.",1,1207
court commission,authorization of the sovereign to create items,"Danninger had made items for the court since 1801 and received the court commission (""Hoftitel"") in 1811.","Danninger had made items for the court since 1801 and received the authorization of the sovereign to create items (""Hoftitel"") in 1811.",1,202
larger body,greater anatomy,"In general, ""M. nyctor"" has a larger body but a smaller cranium than ""M. martiniquensis"".","In general, ""M. nyctor"" has a greater anatomy but a smaller cranium than ""M. martiniquensis"".",1,1462
play lead,hands result,In the remainder of the cases (58.72%) both lines of play lead to the same number of tricks.,In the remainder of the cases (58.72%) both lines of hands result to the same number of tricks.,1,835
main vehicle,primary automobile,The main vehicle that the CHP uses to patrol is the Dodge Charger Pursuit in the RWD V6 Police Package.,The primary automobile that the CHP uses to patrol is the Dodge Charger Pursuit in the RWD V6 Police Package.,1,246
part one,"Part one of the show ""Group Animal""","This is known as a two-part transaction: part one is giving the money, part two is receiving the goods.","This is known as a two-part transaction: Part one of the show ""Group Animal"" is giving the money, part two is receiving the goods.",0,1439
best known version,most popular adaptation,The best known version of risk parity is the equally-weighted risk contributions portfolio method.,The most popular adaptation of risk parity is the equally-weighted risk contributions portfolio method.,0,1753
new mexico game,college football match,"michael reed, starting wide receiver, injured his knee in the wyoming game and was out for 3 weeks before returning for the new mexico game.","michael reed, starting wide receiver, injured his knee in the wyoming game and was out for 3 weeks before returning for the college football match.",1,1901
consistent history,proper record,"Only the ""dead cat"" or the ""live cat"" can be a part of a consistent history in this interpretation.","Only the ""dead cat"" or the ""live cat"" can be a part of a proper record in this interpretation.",0,1707
single component,one section,"As the weakest level of authentication, only a single component from one of the three categories of factors is used to authenticate an individual’s identity.","As the weakest level of authentication, only a one section from one of the three categories of factors is used to authenticate an individual’s identity.",0,1880
greatest emphasis,large accentuation,The greatest emphasis was placed on a group called the Hong Kong Observers.,The large accentuation was placed on a group called the Hong Kong Observers.,0,1153
rich world,wealthy society,The school provided opportunity to boys from across the world to experience the rich world of music.,The school provided opportunity to boys from across the world to experience the wealthy society of music.,0,1661
form groups,create families,"North Sulawesi babirusas form groups with up to a dozen of individuals, especially when raising their young.","North Sulawesi babirusas create families with up to a dozen of individuals, especially when raising their young.",1,1426
one break,brief time apart,"With one break in the chain, the rest of the chain could be impacted greatly.","With brief time apart in the chain, the rest of the chain could be impacted greatly.",0,384
first web,initial cobweb,"However, after a day, Arabella spun the first web in the experimental cage, although it was initially incomplete.","However, after a day, Arabella spun the initial cobweb in the experimental cage, although it was initially incomplete.",1,1758
current body,present-day organization,"The Landtag has existed in various forms since 1831, but the current body was established during German reunification in 1990.","The Landtag has existed in various forms since 1831, but the present-day organization was established during German reunification in 1990.",1,854
total swing,complete transition,"The total swing in brightness from absolute maximum to absolute minimum (two events which did not occur on the same cycle) is 1,700 times.","The complete transition in brightness from absolute maximum to absolute minimum (two events which did not occur on the same cycle) is 1,700 times.",1,1589
one junior,younger student,"Puddletown has a recreation ground on Three Lanes Way; it has one cricket pitch and two grass football pitches (one junior, one full-size).","Puddletown has a recreation ground on Three Lanes Way; it has one cricket pitch and two grass football pitches (younger student, one full-size).",0,219
hot bed,bustling area,Thunder Bay remains a hot bed of anti-union violence against pro-union individuals resulting in Thunder Bay being labelled the Capital of Anti-union Violence of Canada.,Thunder Bay remains a bustling area of anti-union violence against pro-union individuals resulting in Thunder Bay being labelled the Capital of Anti-union Violence of Canada.,1,641
associated track,correlating music single,The old pier was taken out of service and its associated track was lifted.,The old pier was taken out of service and its correlating music single was lifted.,0,1
second chamber,subsequent compartment,in 1971 she was again a member of parliament and belonged to the second chamber until 1979.,in 1971 she was again a member of parliament and belonged to the subsequent compartment until 1979.,0,112
popular approach,favored method,"A popular approach to tracking fixed assets uses serial numbered asset tags, which are labels often with bar codes for easy and accurate reading.","A favored method to tracking fixed assets uses serial numbered asset tags, which are labels often with bar codes for easy and accurate reading.",1,698
another body,an additional group,"another body of people that face widespread group discrimination are racial minorities, mainly blacks and hispanics.","an additional group of people that face widespread group discrimination are racial minorities, mainly blacks and hispanics.",1,1915
2018 update,twenty-eighteen redevelopment,The 2018 update includes four rail corridors which would be operated with two services.,The twenty-eighteen redevelopment includes four rail corridors which would be operated with two services.,0,951
